task,LibriSeVoc_cross_method,LibriSeVoc_cross_method,LibriSeVoc_cross_method,LibriSeVoc_cross_method,LibriSeVoc_cross_method,modelname,version
LibriSeVoc---v04,66.99/37.05,69.24/34.80,61.65/40.67,69.80/34.79,66.92/36.83,LibriSeVoc,v04
LibriSeVoc---v06,65.20/39.08,64.13/39.50,62.36/40.93,65.49/39.15,64.30/39.66,LibriSeVoc,v06
LibriSeVoc---v07,62.06/40.59,67.83/36.05,61.76/40.67,62.21/40.51,63.47/39.45,LibriSeVoc,v07
LibriSeVoc---v08,70.06/33.51,65.99/36.56,62.07/39.59,72.02/32.26,67.53/35.48,LibriSeVoc,v08
LibriSeVoc---v09,72.80/32.00,72.76/32.01,67.78/36.16,74.47/30.90,71.95/32.77,LibriSeVoc,v09
LibriSeVoc---v10,70.04/34.04,68.62/33.67,63.80/38.24,72.54/31.37,68.75/34.33,LibriSeVoc,v10
AudioClip---v00,88.33/20.77,89.80/18.45,73.66/32.72,93.10/15.75,86.22/21.92,AudioClip,v00
AudioClip---v01,86.92/21.62,87.15/20.57,71.17/34.56,91.04/17.61,84.07/23.59,AudioClip,v01
AudioClip---v02,90.72/17.34,87.82/20.57,72.87/33.40,93.76/13.89,86.29/21.30,AudioClip,v02
AudioClip---v03,89.12/18.93,84.73/21.58,68.75/34.08,92.33/15.11,83.73/22.43,AudioClip,v03
AudioClip---v04,87.99/20.60,93.18/14.72,69.99/34.57,92.95/14.96,86.03/21.21,AudioClip,v04
AudioClip---v06,90.82/16.81,86.61/21.58,72.38/33.55,94.41/12.57,86.05/21.13,AudioClip,v06
AudioClip---v07,92.69/15.03,87.21/20.90,71.38/34.38,95.42/11.74,86.68/20.51,AudioClip,v07
AudioClip---v08,91.61/16.20,88.28/19.84,73.02/33.00,94.39/13.40,86.82/20.61,AudioClip,v08
AudioClip---v09,91.10/17.27,86.96/21.47,70.34/35.44,96.23/10.68,86.16/21.21,AudioClip,v09
AudioClip---v10,89.42/19.01,87.37/18.91,67.35/35.92,94.44/13.16,84.64/21.75,AudioClip,v10
Wav2Clip---v00,93.83/13.99,78.18/29.37,76.35/30.81,68.89/36.50,79.31/27.67,Wav2Clip,v00
Wav2Clip---v01,94.55/12.96,81.54/26.51,85.94/22.20,78.30/28.88,85.08/22.64,Wav2Clip,v01
Wav2Clip---v02,92.88/15.45,79.65/27.68,85.06/23.40,73.29/33.47,82.72/25.00,Wav2Clip,v02
Wav2Clip---v03,95.43/11.51,76.85/30.16,79.66/28.24,72.97/33.54,81.23/25.86,Wav2Clip,v03
Wav2Clip---v04,92.75/14.65,82.35/26.07,82.89/25.90,73.09/33.02,82.77/24.91,Wav2Clip,v04
Wav2Clip---v06,96.64/$\phantom{0}$8.98,79.86/27.41,87.00/21.73,85.29/22.61,87.20/20.18,Wav2Clip,v06
Wav2Clip---v07,93.55/14.23,78.07/28.77,86.27/21.82,75.87/29.91,83.44/23.68,Wav2Clip,v07
Wav2Clip---v08,93.72/13.88,76.64/30.71,84.37/24.20,61.06/42.22,78.95/27.75,Wav2Clip,v08
Wav2Clip---v09,95.67/10.72,81.50/26.20,88.42/19.42,82.65/25.51,87.06/20.46,Wav2Clip,v09
Wav2Clip---v10,93.93/13.82,80.50/27.11,85.03/23.60,78.75/28.81,84.55/23.33,Wav2Clip,v10
AASIST---v00,76.52/30.18,78.16/28.59,79.79/27.42,89.96/18.85,81.11/26.26,AASIST,v00
AASIST---v01,74.44/31.51,80.15/27.41,79.08/28.17,89.76/18.39,80.86/26.37,AASIST,v01
AASIST---v02,83.24/24.88,76.95/30.11,83.47/24.76,90.31/18.21,83.49/24.49,AASIST,v02
AASIST---v03,74.91/31.31,76.08/30.14,78.64/28.67,89.17/18.72,79.70/27.21,AASIST,v03
AASIST---v04,76.28/30.22,76.79/29.61,74.84/31.71,90.99/17.60,79.73/27.28,AASIST,v04
AASIST---v06,80.17/27.59,79.01/27.98,77.34/30.03,93.51/14.71,82.51/25.08,AASIST,v06
AASIST---v07,80.74/26.62,66.97/37.37,75.83/30.90,92.32/15.87,78.97/27.69,AASIST,v07
AASIST---v08,71.78/33.77,66.74/38.13,71.10/34.30,85.46/22.38,73.77/32.15,AASIST,v08
AASIST---v09,79.66/27.64,73.99/31.92,78.35/28.74,89.29/18.79,80.33/26.77,AASIST,v09
AASIST---v10,73.47/33.09,69.32/35.44,74.46/32.03,85.91/22.57,75.79/30.78,AASIST,v10
SFATNet---v00,93.55/14.16,89.45/17.46,85.13/22.73,97.06/$\phantom{0}$9.05,91.30/15.85,SFATNet,v00
SFATNet---v01,92.23/14.84,86.60/20.14,78.16/29.46,96.70/$\phantom{0}$9.09,88.42/18.38,SFATNet,v01
SFATNet---v02,85.60/21.85,85.14/21.47,74.06/33.17,92.86/13.93,84.41/22.61,SFATNet,v02
SFATNet---v03,95.97/10.75,87.13/20.41,85.17/23.41,98.25/$\phantom{0}$6.66,91.63/15.31,SFATNet,v03
SFATNet---v04,92.30/15.15,85.62/21.76,77.32/30.18,97.66/$\phantom{0}$7.87,88.22/18.74,SFATNet,v04
SFATNet---v06,92.51/15.64,86.93/20.67,74.66/31.47,96.97/$\phantom{0}$9.12,87.77/19.23,SFATNet,v06
SFATNet---v07,94.67/11.85,87.27/19.65,83.64/24.03,98.30/$\phantom{0}$6.66,90.97/15.55,SFATNet,v07
SFATNet---v08,91.86/15.74,86.25/21.01,80.26/27.43,92.81/14.31,87.80/19.62,SFATNet,v08
