task,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner
method,0inner,1AR,2Non-AR,3traditional,4unknown,5concat,6whole
model,,,,,,,
Wave2Vec2-v7,96.91/$\phantom{0}$9.52,94.60/13.73,97.13/$\phantom{0}$9.54,98.90/$\phantom{0}$4.96,95.51/13.58,96.45/$\phantom{0}$9.96,96.53/10.70
Wave2Vec2-v8,95.50/11.02,92.41/16.34,95.18/12.17,97.03/$\phantom{0}$7.96,93.67/14.80,95.04/11.51,94.59/12.94
Wave2Vec2-v9,95.70/11.56,94.83/13.55,97.41/$\phantom{0}$8.80,98.67/$\phantom{0}$5.16,96.01/11.06,95.13/11.97,96.58/10.23
WaveLM-v0,97.72/$\phantom{0}$7.62,96.55/10.09,98.18/$\phantom{0}$7.06,99.33/$\phantom{0}$4.30,97.37/$\phantom{0}$9.90,97.05/$\phantom{0}$8.25,97.80/$\phantom{0}$8.25
WaveLM-v1,97.12/$\phantom{0}$8.74,95.85/10.82,97.75/$\phantom{0}$7.64,99.41/$\phantom{0}$3.54,97.21/$\phantom{0}$9.83,95.92/$\phantom{0}$9.91,97.42/$\phantom{0}$8.72
WaveLM-v10,98.25/$\phantom{0}$5.82,96.70/$\phantom{0}$8.98,98.25/$\phantom{0}$5.59,98.91/$\phantom{0}$3.64,96.73/$\phantom{0}$9.73,97.96/$\phantom{0}$6.22,97.69/$\phantom{0}$7.29
WaveLM-v2,96.93/$\phantom{0}$7.65,96.16/$\phantom{0}$8.70,96.80/$\phantom{0}$7.05,97.19/$\phantom{0}$6.57,95.69/$\phantom{0}$9.46,96.64/$\phantom{0}$7.50,96.49/$\phantom{0}$7.90
WaveLM-v3,98.18/$\phantom{0}$6.15,95.72/10.51,97.72/$\phantom{0}$7.16,98.99/$\phantom{0}$4.70,96.17/11.31,97.98/$\phantom{0}$6.16,97.24/$\phantom{0}$8.53
WaveLM-v4,97.50/$\phantom{0}$7.70,96.04/10.87,97.69/$\phantom{0}$8.31,99.73/$\phantom{0}$2.14,97.57/$\phantom{0}$9.30,96.69/$\phantom{0}$8.38,97.66/$\phantom{0}$8.43
WaveLM-v6,96.69/$\phantom{0}$8.82,94.11/13.14,96.94/$\phantom{0}$9.43,99.39/$\phantom{0}$4.01,95.93/12.12,95.15/10.03,96.47/10.21
WaveLM-v7,96.20/10.26,96.57/$\phantom{0}$9.03,96.82/$\phantom{0}$8.60,98.66/$\phantom{0}$6.05,97.70/$\phantom{0}$8.31,95.16/10.85,97.23/$\phantom{0}$8.67
WaveLM-v8,95.24/11.68,90.99/17.03,93.57/14.06,98.34/$\phantom{0}$6.66,95.53/14.36,93.63/13.02,94.52/13.88
WaveLM-v9,97.99/$\phantom{0}$7.17,95.25/12.06,96.92/$\phantom{0}$9.50,99.43/$\phantom{0}$3.65,96.55/11.72,97.71/$\phantom{0}$7.37,97.09/$\phantom{0}$9.60
