task,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,nan,nan,nan,nan,nan,nan,nan,modelname,version
method,0inner,1AR,2Non-AR,3traditional,4unknown,5concat,6whole,0inner,1AR,2Non-AR,3traditional,4unknown,5concat,6whole,,
model,,,,,,,,,,,,,,,,
Wave2Vec2-old1---v01,96.01/10.46,94.38/13.86,97.03/$\phantom{0}$9.35,98.82/$\phantom{0}$5.34,95.24/13.55,95.23/10.86,96.26/10.83,nan,nan,nan,nan,nan,nan,nan,Wave2Vec2-old1,v01
Wave2Vec2-old1---v02,95.69/11.31,92.27/16.70,95.65/12.26,97.63/$\phantom{0}$8.00,95.16/13.51,95.19/11.67,95.16/12.92,nan,nan,nan,nan,nan,nan,nan,Wave2Vec2-old1,v02
Wave2Vec2-old1---v03,96.27/10.34,93.21/16.35,96.13/11.40,97.97/$\phantom{0}$6.56,94.72/13.54,96.55/$\phantom{0}$9.72,95.60/11.93,nan,nan,nan,nan,nan,nan,nan,Wave2Vec2-old1,v03
Wave2Vec2-old1---v04,95.60/10.99,92.86/15.58,95.90/11.44,98.62/$\phantom{0}$5.51,94.54/15.20,94.75/11.99,95.41/12.59,nan,nan,nan,nan,nan,nan,nan,Wave2Vec2-old1,v04
Wave2Vec2-old1---v06,93.21/12.54,91.58/15.91,94.35/11.12,95.59/$\phantom{0}$8.45,92.59/13.50,92.61/13.44,93.43/12.35,nan,nan,nan,nan,nan,nan,nan,Wave2Vec2-old1,v06
Wave2Vec2-old1---v07,96.91/$\phantom{0}$9.52,94.60/13.73,97.13/$\phantom{0}$9.54,98.90/$\phantom{0}$4.96,95.51/13.58,96.45/$\phantom{0}$9.96,96.53/10.70,nan,nan,nan,nan,nan,nan,nan,Wave2Vec2-old1,v07
Wave2Vec2-old1---v08,95.50/11.02,92.41/16.34,95.18/12.17,97.03/$\phantom{0}$7.96,93.67/14.80,95.04/11.51,94.59/12.94,nan,nan,nan,nan,nan,nan,nan,Wave2Vec2-old1,v08
Wave2Vec2-old1---v09,95.70/11.56,94.83/13.55,97.41/$\phantom{0}$8.80,98.67/$\phantom{0}$5.16,96.01/11.06,95.13/11.97,96.58/10.23,nan,nan,nan,nan,nan,nan,nan,Wave2Vec2-old1,v09
Wave2Vec2-old1---v10,93.44/12.28,91.46/15.34,92.97/10.51,94.52/$\phantom{0}$8.97,90.92/14.81,92.89/13.47,92.49/12.08,nan,nan,nan,nan,nan,nan,nan,Wave2Vec2-old1,v10
WaveLM---v00,69.78/38.07,74.79/30.46,78.53/26.97,84.14/22.96,83.31/23.22,64.75/39.29,78.84/27.33,nan,nan,nan,nan,nan,nan,nan,WaveLM,v00
WaveLM---v01,86.93/22.40,91.15/18.77,95.96/11.52,98.65/$\phantom{0}$6.57,96.48/11.48,82.24/24.84,94.38/15.02,nan,nan,nan,nan,nan,nan,nan,WaveLM,v01
WaveLM---v02,84.54/25.04,87.70/20.51,89.46/17.23,89.92/15.14,89.52/16.17,81.88/26.59,88.52/18.63,nan,nan,nan,nan,nan,nan,nan,WaveLM,v02
WaveLM---v03,87.49/21.37,90.84/18.76,94.41/13.63,96.91/$\phantom{0}$9.86,95.86/12.44,83.34/24.25,93.50/15.52,nan,nan,nan,nan,nan,nan,nan,WaveLM,v03
WaveLM---v04,92.84/14.47,90.97/17.89,94.32/14.02,98.44/$\phantom{0}$6.87,94.42/15.68,90.37/16.60,94.17/14.47,nan,nan,nan,nan,nan,nan,nan,WaveLM,v04
WaveLM---v06,83.14/24.86,87.42/22.63,92.39/16.31,96.10/11.77,94.48/14.33,77.87/27.44,91.27/18.86,nan,nan,nan,nan,nan,nan,nan,WaveLM,v06
WaveLM---v07,80.60/28.82,88.69/21.77,94.04/13.68,98.23/$\phantom{0}$7.82,96.01/12.56,73.18/31.41,92.36/18.25,nan,nan,nan,nan,nan,nan,nan,WaveLM,v07
WaveLM---v08,82.42/28.03,88.42/21.06,92.33/15.66,92.04/16.65,91.16/17.04,79.34/29.86,89.95/19.07,nan,nan,nan,nan,nan,nan,nan,WaveLM,v08
WaveLM---v09,69.38/38.03,81.03/31.16,84.12/26.71,87.81/23.17,89.28/20.59,61.69/40.00,83.44/28.35,nan,nan,nan,nan,nan,nan,nan,WaveLM,v09
WaveLM---v10,92.59/14.85,92.70/13.88,94.60/10.51,95.12/$\phantom{0}$9.71,93.94/11.49,91.29/16.14,93.82/12.09,nan,nan,nan,nan,nan,nan,nan,WaveLM,v10
WaveLM-old1---v00,97.72/$\phantom{0}$7.62,96.55/10.09,98.18/$\phantom{0}$7.06,99.33/$\phantom{0}$4.30,97.37/$\phantom{0}$9.90,97.05/$\phantom{0}$8.25,97.80/$\phantom{0}$8.25,nan,nan,nan,nan,nan,nan,nan,WaveLM-old1,v00
WaveLM-old1---v01,97.12/$\phantom{0}$8.74,95.85/10.82,97.75/$\phantom{0}$7.64,99.41/$\phantom{0}$3.54,97.21/$\phantom{0}$9.83,95.92/$\phantom{0}$9.91,97.42/$\phantom{0}$8.72,nan,nan,nan,nan,nan,nan,nan,WaveLM-old1,v01
WaveLM-old1---v02,96.93/$\phantom{0}$7.65,96.16/$\phantom{0}$8.70,96.80/$\phantom{0}$7.05,97.19/$\phantom{0}$6.57,95.69/$\phantom{0}$9.46,96.64/$\phantom{0}$7.50,96.49/$\phantom{0}$7.90,nan,nan,nan,nan,nan,nan,nan,WaveLM-old1,v02
WaveLM-old1---v03,98.18/$\phantom{0}$6.15,95.72/10.51,97.72/$\phantom{0}$7.16,98.99/$\phantom{0}$4.70,96.17/11.31,97.98/$\phantom{0}$6.16,97.24/$\phantom{0}$8.53,nan,nan,nan,nan,nan,nan,nan,WaveLM-old1,v03
WaveLM-old1---v04,97.50/$\phantom{0}$7.70,96.04/10.87,97.69/$\phantom{0}$8.31,99.73/$\phantom{0}$2.14,97.57/$\phantom{0}$9.30,96.69/$\phantom{0}$8.38,97.66/$\phantom{0}$8.43,nan,nan,nan,nan,nan,nan,nan,WaveLM-old1,v04
WaveLM-old1---v06,96.69/$\phantom{0}$8.82,94.11/13.14,96.94/$\phantom{0}$9.43,99.39/$\phantom{0}$4.01,95.93/12.12,95.15/10.03,96.47/10.21,nan,nan,nan,nan,nan,nan,nan,WaveLM-old1,v06
WaveLM-old1---v07,96.20/10.26,96.57/$\phantom{0}$9.03,96.82/$\phantom{0}$8.60,98.66/$\phantom{0}$6.05,97.70/$\phantom{0}$8.31,95.16/10.85,97.23/$\phantom{0}$8.67,nan,nan,nan,nan,nan,nan,nan,WaveLM-old1,v07
WaveLM-old1---v08,95.24/11.68,90.99/17.03,93.57/14.06,98.34/$\phantom{0}$6.66,95.53/14.36,93.63/13.02,94.52/13.88,nan,nan,nan,nan,nan,nan,nan,WaveLM-old1,v08
WaveLM-old1---v09,97.99/$\phantom{0}$7.17,95.25/12.06,96.92/$\phantom{0}$9.50,99.43/$\phantom{0}$3.65,96.55/11.72,97.71/$\phantom{0}$7.37,97.09/$\phantom{0}$9.60,nan,nan,nan,nan,nan,nan,nan,WaveLM-old1,v09
WaveLM-old1---v10,98.25/$\phantom{0}$5.82,96.70/$\phantom{0}$8.98,98.25/$\phantom{0}$5.59,98.91/$\phantom{0}$3.64,96.73/$\phantom{0}$9.73,97.96/$\phantom{0}$6.22,97.69/$\phantom{0}$7.29,nan,nan,nan,nan,nan,nan,nan,WaveLM-old1,v10
LibriSeVoc---v00,85.26/20.02,79.37/29.07,80.49/28.03,88.38/17.91,82.96/24.41,83.42/20.69,82.86/24.96,nan,nan,nan,nan,nan,nan,nan,LibriSeVoc,v00
LibriSeVoc---v01,87.60/17.64,79.42/28.76,81.66/26.93,91.46/14.35,85.64/23.90,85.38/19.17,84.61/23.89,nan,nan,nan,nan,nan,nan,nan,LibriSeVoc,v01
LibriSeVoc---v02,88.94/16.57,80.05/28.14,82.54/26.21,91.68/15.21,86.05/23.23,87.44/17.35,85.29/23.30,nan,nan,nan,nan,nan,nan,nan,LibriSeVoc,v02
LibriSeVoc---v03,89.96/15.43,79.39/29.23,81.58/27.51,93.45/13.17,86.88/23.51,88.23/15.93,85.55/23.83,nan,nan,nan,nan,nan,nan,nan,LibriSeVoc,v03
LibriSeVoc---v04,91.62/15.42,79.81/28.84,82.84/26.53,94.47/13.44,88.39/23.26,90.03/16.56,86.68/23.60,nan,nan,nan,nan,nan,nan,nan,LibriSeVoc,v04
LibriSeVoc---v06,87.61/18.29,79.49/29.31,81.02/27.74,92.28/13.70,85.75/24.01,84.24/20.55,84.57/24.54,nan,nan,nan,nan,nan,nan,nan,LibriSeVoc,v06
LibriSeVoc---v07,84.18/21.89,77.94/29.31,81.03/27.06,93.38/12.66,86.22/23.50,81.19/23.75,84.32/24.37,nan,nan,nan,nan,nan,nan,nan,LibriSeVoc,v07
LibriSeVoc---v08,85.93/19.56,80.00/29.04,81.92/26.97,89.40/15.65,84.09/23.74,83.18/21.73,83.81/24.08,nan,nan,nan,nan,nan,nan,nan,LibriSeVoc,v08
LibriSeVoc---v09,85.30/20.47,78.65/29.17,79.79/27.93,87.65/18.96,82.18/25.25,84.02/21.72,82.23/25.14,nan,nan,nan,nan,nan,nan,nan,LibriSeVoc,v09
LibriSeVoc---v10,87.45/18.34,80.01/27.87,82.56/25.81,93.19/12.67,86.39/23.35,85.12/19.79,85.52/23.14,nan,nan,nan,nan,nan,nan,nan,LibriSeVoc,v10
AudioClip---v00,89.11/19.48,81.10/26.90,79.81/28.14,87.09/20.73,80.69/26.44,88.00/20.94,82.69/25.42,nan,nan,nan,nan,nan,nan,nan,AudioClip,v00
AudioClip---v01,90.37/17.74,83.38/24.94,80.98/28.04,89.90/18.77,84.61/25.01,89.56/18.94,85.15/23.89,nan,nan,nan,nan,nan,nan,nan,AudioClip,v01
