task,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,modelname,version
method,0,1,2,3,4,5,6,inTheWild,en,ch,avg,,
model,,,,,,,,,,,,,
Wav2Clip---v07,99.99/$\phantom{0}$0.24,96.70/$\phantom{0}$8.43,99.32/$\phantom{0}$3.67,98.18/$\phantom{0}$6.17,98.34/$\phantom{0}$5.82,99.95/$\phantom{0}$0.79,99.98/$\phantom{0}$0.45,28.70/67.47,73.44/33.83,86.55/21.15,98.92/$\phantom{0}$3.65,Wav2Clip,v07
Wav2Clip---v08,99.96/$\phantom{0}$0.81,96.50/$\phantom{0}$9.02,99.68/$\phantom{0}$2.52,98.59/$\phantom{0}$5.63,98.96/$\phantom{0}$4.75,99.84/$\phantom{0}$1.73,100.00/$\phantom{0}$0.08,47.09/52.45,66.23/39.60,83.22/24.90,99.08/$\phantom{0}$3.50,Wav2Clip,v08
Wav2Clip---v09,99.99/$\phantom{0}$0.23,96.61/$\phantom{0}$8.22,99.75/$\phantom{0}$2.21,98.50/$\phantom{0}$5.42,99.01/$\phantom{0}$4.34,99.96/$\phantom{0}$0.64,100.00/$\phantom{0}$0.06,32.03/64.22,57.05/47.14,85.59/22.32,99.12/$\phantom{0}$3.02,Wav2Clip,v09
Wav2Clip---v10,99.62/$\phantom{0}$2.91,89.84/18.25,96.73/$\phantom{0}$9.42,93.63/14.06,95.45/11.47,98.97/$\phantom{0}$5.04,99.97/$\phantom{0}$0.69,24.49/70.18,55.11/48.12,83.64/23.20,96.31/$\phantom{0}$8.84,Wav2Clip,v10
Ours/ResNet---v00,99.99/$\phantom{0}$0.27,99.41/$\phantom{0}$3.68,99.67/$\phantom{0}$2.80,99.23/$\phantom{0}$4.24,99.34/$\phantom{0}$3.95,99.93/$\phantom{0}$1.02,100.00/$\phantom{0}$0.02,44.86/53.98,96.10/10.08,88.32/18.42,99.65/$\phantom{0}$2.28,Ours/ResNet,v00
Ours/ResNet---v01,100.00/$\phantom{0}$0.05,99.23/$\phantom{0}$4.35,99.58/$\phantom{0}$3.00,99.40/$\phantom{0}$3.85,99.22/$\phantom{0}$4.19,99.99/$\phantom{0}$0.18,100.00/$\phantom{0}$0.03,44.70/53.80,98.13/$\phantom{0}$6.20,89.97/15.61,99.63/$\phantom{0}$2.24,Ours/ResNet,v01
Ours/ResNet---v02,100.00/$\phantom{0}$0.09,99.02/$\phantom{0}$4.85,99.43/$\phantom{0}$3.53,99.32/$\phantom{0}$4.01,99.25/$\phantom{0}$4.21,99.99/$\phantom{0}$0.32,100.00/$\phantom{0}$0.10,37.92/59.99,97.84/$\phantom{0}$7.13,91.00/15.71,99.57/$\phantom{0}$2.44,Ours/ResNet,v02
Ours/ResNet---v03,99.99/$\phantom{0}$0.21,99.53/$\phantom{0}$3.21,98.53/$\phantom{0}$5.88,99.48/$\phantom{0}$3.33,99.24/$\phantom{0}$4.18,99.96/$\phantom{0}$0.75,100.00/$\phantom{0}$0.03,40.59/57.98,96.11/10.05,90.21/16.27,99.53/$\phantom{0}$2.51,Ours/ResNet,v03
Ours/ResNet---v04,99.99/$\phantom{0}$0.24,99.56/$\phantom{0}$3.09,98.40/$\phantom{0}$6.33,99.31/$\phantom{0}$3.99,99.23/$\phantom{0}$4.16,99.96/$\phantom{0}$0.77,100.00/$\phantom{0}$0.03,32.78/63.99,96.73/$\phantom{0}$8.51,88.53/18.49,99.49/$\phantom{0}$2.66,Ours/ResNet,v04
Ours/ResNet---v05,100.00/$\phantom{0}$0.05,99.25/$\phantom{0}$4.25,99.49/$\phantom{0}$3.24,99.37/$\phantom{0}$3.82,99.38/$\phantom{0}$3.73,100.00/$\phantom{0}$0.09,100.00/$\phantom{0}$0.02,53.81/48.22,97.75/$\phantom{0}$7.15,89.29/17.34,99.64/$\phantom{0}$2.17,Ours/ResNet,v05
Ours/ResNet---v06,100.00/$\phantom{0}$0.13,99.46/$\phantom{0}$3.44,99.36/$\phantom{0}$3.92,99.36/$\phantom{0}$3.94,99.51/$\phantom{0}$3.37,99.99/$\phantom{0}$0.34,100.00/$\phantom{0}$0.08,48.72/50.79,97.66/$\phantom{0}$6.89,87.97/18.87,99.67/$\phantom{0}$2.17,Ours/ResNet,v06
Ours/ResNet---v07,99.99/$\phantom{0}$0.14,99.71/$\phantom{0}$2.66,99.28/$\phantom{0}$4.03,99.27/$\phantom{0}$4.08,99.25/$\phantom{0}$4.05,99.97/$\phantom{0}$0.44,100.00/$\phantom{0}$0.06,43.44/56.14,98.74/$\phantom{0}$5.36,87.45/18.93,99.64/$\phantom{0}$2.21,Ours/ResNet,v07
Ours/ResNet---v08,100.00/$\phantom{0}$0.12,99.31/$\phantom{0}$4.13,99.65/$\phantom{0}$2.69,99.59/$\phantom{0}$3.08,99.50/$\phantom{0}$3.40,99.99/$\phantom{0}$0.47,100.00/$\phantom{0}$0.05,47.21/53.07,97.64/$\phantom{0}$7.57,89.21/17.90,99.72/$\phantom{0}$1.99,Ours/ResNet,v08
Ours/ResNet---v09,99.98/$\phantom{0}$0.61,99.46/$\phantom{0}$3.56,99.13/$\phantom{0}$4.60,98.92/$\phantom{0}$5.15,99.01/$\phantom{0}$4.92,99.86/$\phantom{0}$1.55,99.99/$\phantom{0}$0.22,34.65/63.30,97.30/$\phantom{0}$8.11,88.98/17.61,99.48/$\phantom{0}$2.94,Ours/ResNet,v09
Ours/ResNet---v10,99.99/$\phantom{0}$0.26,99.19/$\phantom{0}$4.38,99.29/$\phantom{0}$3.95,98.85/$\phantom{0}$5.32,99.14/$\phantom{0}$4.47,99.93/$\phantom{0}$1.07,100.00/$\phantom{0}$0.04,60.01/42.63,98.46/$\phantom{0}$5.78,87.23/19.82,99.49/$\phantom{0}$2.78,Ours/ResNet,v10
Ours/ResNet---v11,99.99/$\phantom{0}$0.30,98.05/$\phantom{0}$7.05,94.57/12.49,97.40/$\phantom{0}$8.30,95.84/10.73,99.99/$\phantom{0}$0.44,99.97/$\phantom{0}$0.79,48.14/52.87,98.89/$\phantom{0}$4.78,89.20/18.09,97.97/$\phantom{0}$5.73,Ours/ResNet,v11
Ours/ResNet---v12,99.99/$\phantom{0}$0.31,99.30/$\phantom{0}$4.15,98.32/$\phantom{0}$6.50,99.03/$\phantom{0}$4.85,98.95/$\phantom{0}$5.15,99.95/$\phantom{0}$0.95,100.00/$\phantom{0}$0.06,37.81/60.07,96.93/$\phantom{0}$8.87,86.97/20.38,99.36/$\phantom{0}$3.14,Ours/ResNet,v12
Ours/ResNet---v13,100.00/$\phantom{0}$0.05,99.61/$\phantom{0}$2.79,99.57/$\phantom{0}$3.01,99.68/$\phantom{0}$2.53,99.50/$\phantom{0}$3.27,100.00/$\phantom{0}$0.07,100.00/$\phantom{0}$0.04,58.77/44.01,98.16/$\phantom{0}$5.97,88.42/18.92,99.76/$\phantom{0}$1.68,Ours/ResNet,v13
Ours/ResNet---v14,100.00/$\phantom{0}$0.11,99.19/$\phantom{0}$4.24,99.55/$\phantom{0}$3.11,99.20/$\phantom{0}$4.22,99.29/$\phantom{0}$3.97,99.98/$\phantom{0}$0.48,100.00/$\phantom{0}$0.02,56.75/45.35,96.48/$\phantom{0}$8.75,88.52/18.55,99.60/$\phantom{0}$2.31,Ours/ResNet,v14
Ours/ResNet---v15,100.00/$\phantom{0}$0.08,98.77/$\phantom{0}$5.76,99.44/$\phantom{0}$3.61,99.09/$\phantom{0}$4.65,99.08/$\phantom{0}$4.71,100.00/$\phantom{0}$0.21,100.00/$\phantom{0}$0.02,49.34/50.69,98.26/$\phantom{0}$5.89,86.99/19.10,99.48/$\phantom{0}$2.72,Ours/ResNet,v15
Ours/ResNet---v16,100.00/$\phantom{0}$0.10,99.33/$\phantom{0}$4.06,99.40/$\phantom{0}$3.62,99.51/$\phantom{0}$3.24,99.47/$\phantom{0}$3.53,99.99/$\phantom{0}$0.25,100.00/$\phantom{0}$0.05,39.98/58.15,97.44/$\phantom{0}$7.69,91.72/14.68,99.67/$\phantom{0}$2.12,Ours/ResNet,v16
Ours/ResNet---v17,99.98/$\phantom{0}$0.42,99.10/$\phantom{0}$4.78,99.43/$\phantom{0}$3.69,99.17/$\phantom{0}$4.44,99.23/$\phantom{0}$4.28,99.93/$\phantom{0}$1.07,100.00/$\phantom{0}$0.04,50.42/49.88,97.94/$\phantom{0}$6.49,88.17/19.62,99.55/$\phantom{0}$2.67,Ours/ResNet,v17
Ours/ResNet---v18,99.99/$\phantom{0}$0.22,98.69/$\phantom{0}$5.70,98.39/$\phantom{0}$6.34,99.07/$\phantom{0}$4.60,98.56/$\phantom{0}$6.16,99.94/$\phantom{0}$0.89,100.00/$\phantom{0}$0.18,26.72/69.53,97.49/$\phantom{0}$8.12,90.48/16.21,99.23/$\phantom{0}$3.44,Ours/ResNet,v18
Ours/ResNet---v19,100.00/$\phantom{0}$0.15,99.38/$\phantom{0}$3.80,99.28/$\phantom{0}$4.08,99.36/$\phantom{0}$3.81,99.45/$\phantom{0}$3.51,99.98/$\phantom{0}$0.59,100.00/$\phantom{0}$0.02,48.54/51.69,95.96/10.38,86.18/20.72,99.64/$\phantom{0}$2.28,Ours/ResNet,v19
Ours/ResNet---v20,100.00/$\phantom{0}$0.05,99.60/$\phantom{0}$2.93,98.78/$\phantom{0}$5.53,99.62/$\phantom{0}$2.78,99.35/$\phantom{0}$3.80,99.99/$\phantom{0}$0.24,100.00/$\phantom{0}$0.03,45.88/54.72,97.83/$\phantom{0}$7.30,88.89/17.81,99.62/$\phantom{0}$2.19,Ours/ResNet,v20
